,0,1,2,3,4,5,6
35,49.224,-34.813,84.037,494.561,19.98,19.98,416.47
36,49.081,-34.813,83.894,494.6,19.98,19.98,416.49
37,48.926,-34.813,83.739,494.639,19.98,19.98,416.51
38,48.759,-34.813,83.572,494.677,19.98,19.98,416.53
39,48.58,-34.813,83.394,494.715,19.98,19.98,416.55
40,48.39,-34.813,83.203,494.753,19.98,19.98,416.57
41,48.188,-34.813,83.001,494.791,19.98,19.98,416.59
42,47.975,-34.813,82.788,494.828,19.98,19.98,416.61
43,47.75,-34.813,82.563,494.864,19.98,19.98,416.63
44,47.514,-34.813,82.327,494.901,19.98,19.98,416.65
45,47.267,-34.813,82.08,494.937,19.98,19.98,416.67
46,47.009,-34.813,81.822,494.973,19.98,19.98,416.69
47,46.74,-34.813,81.553,495.008,19.98,19.98,416.71
48,46.461,-34.813,81.274,495.043,19.98,19.98,416.73
49,46.171,-34.813,80.984,495.078,19.98,19.98,416.75
50,45.871,-34.813,80.685,495.112,19.98,19.98,416.77
51,45.562,-34.813,80.375,495.146,19.98,19.98,416.789
52,45.242,-34.813,80.055,495.18,19.98,19.98,416.809
53,44.913,-34.813,79.726,495.213,19.98,19.98,416.829
54,44.574,-34.813,79.387,495.246,19.98,19.98,416.849
55,44.226,-34.813,79.039,495.279,19.98,19.98,416.869
56,43.869,-34.813,78.682,495.311,19.98,19.98,416.889
57,43.504,-34.813,78.317,495.343,19.98,19.98,416.909
58,43.13,-34.813,77.943,495.374,19.98,19.98,416.929
59,42.747,-34.813,77.56,495.405,19.98,19.98,416.949
60,42.357,-34.813,77.17,495.436,19.98,19.98,416.969
61,41.958,-34.813,76.772,495.467,19.98,19.98,416.989
62,41.553,-34.813,76.366,495.497,19.98,19.98,417.009
63,41.14,-34.813,75.953,495.526,19.98,19.98,417.029
64,40.72,-34.813,75.533,495.556,19.98,19.98,417.049
65,40.293,-34.813,75.106,495.585,19.98,19.98,417.069
66,39.859,-34.813,74.672,495.613,19.98,19.98,417.089
67,39.42,-34.813,74.233,495.642,19.98,19.98,417.109
68,38.974,-34.813,73.787,495.67,19.98,19.98,417.129
69,38.523,-34.813,73.336,495.697,19.98,19.98,417.149
70,38.066,-34.813,72.88,495.725,19.98,19.98,417.169
71,37.605,-34.813,72.418,495.752,19.98,19.98,417.189
72,37.138,-34.813,71.952,495.778,19.98,19.98,417.209
73,36.667,-34.813,71.481,495.805,19.98,19.98,417.229
74,36.192,-34.813,71.005,495.831,19.98,19.98,417.249
75,35.713,-34.813,70.526,495.856,19.98,19.98,417.269
76,35.23,-34.813,70.044,495.882,19.98,19.98,417.289
77,34.745,-34.813,69.558,495.907,19.98,19.98,417.309
78,34.256,-34.813,69.069,495.932,19.98,19.98,417.329
79,33.764,-34.813,68.577,495.956,19.98,19.98,417.349
80,33.27,-34.813,68.083,495.98,19.98,19.98,417.369
81,32.774,-34.813,67.587,496.004,19.98,19.98,417.389
82,32.276,-34.813,67.089,496.028,19.98,19.98,417.409
83,31.777,-34.813,66.59,496.051,19.98,19.98,417.429
84,31.276,-34.813,66.089,496.074,19.98,19.98,417.449
85,30.775,-34.813,65.588,496.097,19.98,19.98,417.469
86,30.273,-34.813,65.087,496.119,19.98,19.98,417.489
87,29.772,-34.813,64.585,496.141,19.98,19.98,417.509
88,29.27,-34.813,64.083,496.163,19.98,19.98,417.529
89,28.769,-34.813,63.582,496.185,19.98,19.98,417.549
90,28.268,-34.813,63.081,496.207,19.98,19.98,417.569
91,27.769,-34.813,62.582,496.228,19.98,19.98,417.589
92,27.271,-34.813,62.084,496.249,19.98,19.98,417.609
93,26.774,-34.813,61.588,496.27,19.98,19.98,417.629
94,26.28,-34.813,61.093,496.291,19.98,19.98,417.649
95,25.788,-34.813,60.602,496.311,19.98,19.98,417.669
96,25.299,-34.813,60.112,496.331,19.98,19.98,417.689
97,24.813,-34.813,59.626,496.352,19.98,19.98,417.709
98,24.33,-34.813,59.143,496.371,19.98,19.98,417.729
99,23.85,-34.813,58.664,496.391,19.98,19.98,417.749
100,23.375,-34.813,58.188,496.411,19.98,19.98,417.769
101,22.904,-34.813,57.717,496.43,19.98,19.98,417.789
