,0,1,2,3,4,5
51,90.0,64.0,1.995,1.812,1.995,0.4
52,90.0,64.0,1.995,1.812,1.995,0.4
53,90.0,64.0,1.995,1.812,1.995,0.4
54,90.0,65.0,1.995,1.812,1.995,0.4
55,90.0,64.0,1.995,1.812,1.995,0.4
56,90.0,64.0,1.995,1.812,1.995,0.4
57,90.0,65.0,1.995,1.812,1.995,0.4
58,90.0,64.0,1.995,1.812,1.995,0.4
59,90.0,64.0,1.995,1.812,1.995,0.4
60,90.0,64.0,1.995,1.812,1.995,0.4
61,90.0,62.0,1.995,1.812,1.995,0.4
62,90.0,60.0,1.995,1.812,1.995,0.4
63,90.0,58.0,1.995,1.812,1.995,0.4
64,90.0,56.0,1.995,1.812,1.995,0.4
65,90.0,53.0,1.995,1.812,1.995,0.4
66,90.0,50.0,1.995,1.812,1.995,0.4
67,90.0,46.0,1.995,1.812,1.995,0.4
68,90.0,44.0,1.995,1.812,1.995,0.4
69,90.0,42.0,1.995,1.812,1.995,0.4
70,90.0,39.0,1.995,1.812,1.995,0.4
71,90.0,37.0,1.995,1.812,1.995,0.4
72,90.0,36.0,1.995,1.812,1.995,0.4
73,90.0,34.0,1.995,1.812,1.995,0.4
74,90.0,34.0,1.995,1.812,1.995,0.4
75,90.0,33.0,1.995,1.812,1.995,0.4
76,90.0,34.0,1.995,1.812,1.995,0.4
77,90.0,34.0,1.995,1.812,1.995,0.4
78,90.0,34.0,1.995,1.812,1.995,0.4
79,90.0,35.0,1.995,1.812,1.995,0.4
80,90.0,36.0,1.995,1.812,1.995,0.4
81,90.0,37.0,1.995,1.812,1.995,0.4
82,90.0,39.0,1.995,1.812,1.995,0.4
83,90.0,40.0,1.995,1.812,1.995,0.4
84,90.0,42.0,1.995,1.812,1.995,0.4
85,90.0,43.0,1.995,1.812,1.995,0.4
86,90.0,46.0,1.995,1.812,1.995,0.4
87,90.0,48.0,1.995,1.812,1.995,0.4
88,90.0,50.0,1.995,1.812,1.995,0.4
89,90.0,52.0,1.995,1.812,1.995,0.4
90,90.0,54.0,1.995,1.812,1.995,0.4
91,90.0,56.0,1.995,1.812,1.995,0.4
92,90.0,58.0,1.995,1.812,1.995,0.4
93,90.0,59.0,1.995,1.812,1.995,0.4
94,90.0,61.0,1.995,1.812,1.995,0.4
95,90.0,62.0,1.995,1.812,1.995,0.4
96,90.0,65.0,1.995,1.812,1.995,0.4
97,90.0,66.0,1.995,1.812,1.995,0.4
98,90.0,68.0,1.995,1.812,1.995,0.4
99,90.0,68.0,1.995,1.812,1.995,0.4
100,90.0,70.0,1.995,1.812,1.995,0.4
101,90.0,70.0,1.995,1.812,1.995,0.4
102,90.0,72.0,1.995,1.812,1.995,0.4
103,90.0,73.0,1.995,1.812,1.995,0.4
104,90.0,74.0,1.995,1.812,1.995,0.4
105,90.0,74.0,1.995,1.812,1.995,0.4
106,90.0,75.0,1.995,1.812,1.995,0.4
107,90.0,75.0,1.995,1.812,1.995,0.4
108,90.0,75.0,1.995,1.812,1.995,0.4
109,90.0,76.0,1.995,1.812,1.995,0.4
110,90.0,76.0,1.995,1.812,1.995,0.4
111,90.0,76.0,1.995,1.812,1.995,0.4
112,90.0,76.0,1.995,1.812,1.995,0.4
113,90.0,76.0,1.995,1.812,1.995,0.4
114,90.0,76.0,1.995,1.812,1.995,0.4
115,90.0,76.0,1.995,1.812,1.995,0.4
116,90.0,75.0,1.995,1.812,1.995,0.4
117,90.0,73.0,1.995,1.812,1.995,0.4
118,90.0,69.0,1.995,1.812,1.995,0.4
119,90.0,65.0,1.995,1.812,1.995,0.4
120,90.0,61.0,1.995,1.812,1.995,0.4
121,90.0,57.0,1.995,1.812,1.995,0.4
122,90.0,53.0,1.995,1.812,1.995,0.4
123,90.0,50.0,1.995,1.812,1.995,0.4
124,90.0,46.0,1.995,1.812,1.995,0.4
125,90.0,42.0,1.995,1.812,1.995,0.4
126,90.0,39.0,1.995,1.812,1.995,0.4
127,90.0,38.0,1.995,1.812,1.995,0.4
128,90.0,35.0,1.995,1.812,1.995,0.4
