,0,1,2,3,4,5,6
186,40.99,41.011,-0.021,0.297,1.0,1.0,34.901
187,40.99,40.945,0.045,0.299,1.0,1.0,34.921
188,40.99,40.879,0.111,0.3,1.0,1.0,34.941
189,40.99,40.879,0.111,0.3,1.0,1.0,34.961
190,40.99,40.879,0.111,0.3,1.0,1.0,34.981
191,40.99,40.945,0.045,0.299,1.0,1.0,35.001
192,40.99,41.077,-0.087,0.297,1.0,1.0,35.021
193,40.99,41.011,-0.021,0.298,1.0,1.0,35.041
194,31.0,41.011,-10.011,0.087,1.0,1.0,35.061
195,31.0,41.077,-10.077,0.079,1.0,1.0,35.081
196,31.0,40.945,-9.945,0.057,1.0,1.0,35.101
197,31.0,40.945,-9.945,0.055,1.0,1.0,35.121
198,31.0,40.154,-9.154,0.01,1.0,1.0,35.141
199,31.0,40.813,-9.813,0.082,1.0,1.0,35.161
200,31.0,40.615,-9.615,0.017,1.0,1.0,35.181
201,31.0,40.747,-9.747,0.026,1.0,1.0,35.201
202,31.0,40.681,-9.681,0.003,1.0,1.0,35.221
203,31.0,40.549,-9.549,-0.009,1.0,1.0,35.241
204,31.0,40.286,-9.286,-0.022,1.0,1.0,35.261
205,31.0,40.088,-9.088,-0.024,1.0,1.0,35.281
206,31.0,40.022,-9.022,-0.024,1.0,1.0,35.301
207,31.0,39.692,-8.692,-0.043,1.0,1.0,35.321
208,31.0,38.967,-7.967,-0.057,1.0,1.0,35.341
209,31.0,38.637,-7.637,-0.036,1.0,1.0,35.361
210,31.0,37.978,-6.978,-0.045,1.0,1.0,35.381
211,31.0,37.121,-6.121,-0.04,1.0,1.0,35.401
212,31.0,36.857,-5.857,-0.015,1.0,1.0,35.421
213,31.0,36.33,-5.33,-0.019,1.0,1.0,35.441
214,31.0,35.67,-4.67,-0.013,1.0,1.0,35.461
215,31.0,35.538,-4.538,0.002,1.0,1.0,35.481
216,31.0,35.011,-4.011,-0.002,1.0,1.0,35.501
217,31.0,34.088,-3.088,0.008,1.0,1.0,35.521
218,31.0,33.56,-2.56,0.026,1.0,1.0,35.541
219,31.0,32.571,-1.571,0.042,1.0,1.0,35.561
220,31.0,32.11,-1.11,0.058,1.0,1.0,35.581
221,31.0,31.582,-0.582,0.069,1.0,1.0,35.601
222,31.0,30.791,0.209,0.088,1.0,1.0,35.621
223,31.0,30.264,0.736,0.101,1.0,1.0,35.641
224,31.0,29.538,1.462,0.122,1.0,1.0,35.661
225,31.0,28.945,2.055,0.137,1.0,1.0,35.681
226,31.0,28.813,2.187,0.136,1.0,1.0,35.701
227,31.0,28.418,2.582,0.152,1.0,1.0,35.721
228,31.0,27.89,3.11,0.17,1.0,1.0,35.741
229,31.0,27.758,3.242,0.168,1.0,1.0,35.761
230,31.0,27.56,3.44,0.177,1.0,1.0,35.781
231,31.0,27.429,3.571,0.183,1.0,1.0,35.801
232,31.0,27.429,3.571,0.183,1.0,1.0,35.821
233,31.0,27.429,3.571,0.187,1.0,1.0,35.841
234,31.0,27.758,3.242,0.177,1.0,1.0,35.861
235,31.0,27.89,3.11,0.182,1.0,1.0,35.881
236,31.0,27.824,3.176,0.191,1.0,1.0,35.901
237,31.0,28.286,2.714,0.175,1.0,1.0,35.921
238,31.0,28.154,2.846,0.192,1.0,1.0,35.941
239,31.0,28.154,2.846,0.192,1.0,1.0,35.961
240,31.0,28.418,2.582,0.185,1.0,1.0,35.981
241,31.0,28.484,2.516,0.19,1.0,1.0,36.001
242,31.0,28.549,2.451,0.192,1.0,1.0,36.021
243,31.0,28.681,2.319,0.19,1.0,1.0,36.041
244,31.0,29.209,1.791,0.177,1.0,1.0,36.061
245,31.0,29.407,1.593,0.18,1.0,1.0,36.081
246,31.0,29.67,1.33,0.176,1.0,1.0,36.101
247,31.0,29.934,1.066,0.172,1.0,1.0,36.121
248,31.0,30.198,0.802,0.168,1.0,1.0,36.141
249,31.0,30.264,0.736,0.169,1.0,1.0,36.161
250,31.0,30.396,0.604,0.166,1.0,1.0,36.181
251,31.0,30.527,0.473,0.164,1.0,1.0,36.201
252,31.0,30.791,0.209,0.159,1.0,1.0,36.221
253,31.0,30.989,0.011,0.156,1.0,1.0,36.241
254,31.0,30.989,0.011,0.156,1.0,1.0,36.261
255,31.0,31.055,-0.055,0.155,1.0,1.0,36.281
256,31.0,31.187,-0.187,0.152,1.0,1.0,36.301
257,31.0,31.253,-0.253,0.15,1.0,1.0,36.321
258,31.0,31.187,-0.187,0.151,1.0,1.0,36.341
259,31.0,31.319,-0.319,0.149,1.0,1.0,36.361
260,31.0,31.319,-0.319,0.148,1.0,1.0,36.381
261,31.0,31.319,-0.319,0.148,1.0,1.0,36.401
262,31.0,31.451,-0.451,0.145,1.0,1.0,36.421
263,31.0,31.319,-0.319,0.146,1.0,1.0,36.441
264,31.0,31.319,-0.319,0.146,1.0,1.0,36.461
265,31.0,31.451,-0.451,0.144,1.0,1.0,36.481
266,31.0,31.187,-0.187,0.148,1.0,1.0,36.501
267,31.0,31.319,-0.319,0.146,1.0,1.0,36.521
268,31.0,31.451,-0.451,0.143,1.0,1.0,36.541
269,31.0,31.582,-0.582,0.139,1.0,1.0,36.561
270,31.0,31.187,-0.187,0.146,1.0,1.0,36.581
271,31.0,31.451,-0.451,0.142,1.0,1.0,36.601
272,31.0,31.253,-0.253,0.144,1.0,1.0,36.621
273,31.0,31.451,-0.451,0.141,1.0,1.0,36.641
274,31.0,31.451,-0.451,0.14,1.0,1.0,36.661
275,31.0,31.253,-0.253,0.143,1.0,1.0,36.681
276,31.0,31.385,-0.385,0.141,1.0,1.0,36.701
277,31.0,31.319,-0.319,0.141,1.0,1.0,36.721
278,31.0,30.462,0.538,0.162,1.0,1.0,36.741
279,31.0,31.319,-0.319,0.143,1.0,1.0,36.761
280,31.0,31.385,-0.385,0.14,1.0,1.0,36.781
281,31.0,31.451,-0.451,0.138,1.0,1.0,36.801
282,31.0,31.451,-0.451,0.137,1.0,1.0,36.821
283,31.0,31.187,-0.187,0.142,1.0,1.0,36.841
284,31.0,31.319,-0.319,0.14,1.0,1.0,36.861
285,31.0,31.319,-0.319,0.139,1.0,1.0,36.881
286,31.0,31.385,-0.385,0.137,1.0,1.0,36.901
287,31.0,31.319,-0.319,0.138,1.0,1.0,36.921
288,31.0,31.451,-0.451,0.136,1.0,1.0,36.941
289,31.0,31.451,-0.451,0.135,1.0,1.0,36.961
290,31.0,31.385,-0.385,0.135,1.0,1.0,36.981
291,31.0,31.516,-0.516,0.133,1.0,1.0,37.001
292,31.0,31.319,-0.319,0.136,1.0,1.0,37.021
293,31.0,31.319,-0.319,0.136,1.0,1.0,37.041
294,31.0,31.451,-0.451,0.133,1.0,1.0,37.061
295,31.0,31.451,-0.451,0.132,1.0,1.0,37.081
296,31.0,31.319,-0.319,0.134,1.0,1.0,37.101
297,31.0,31.451,-0.451,0.132,1.0,1.0,37.121
298,31.0,31.319,-0.319,0.133,1.0,1.0,37.141
299,31.0,31.451,-0.451,0.131,1.0,1.0,37.161
300,31.0,31.319,-0.319,0.132,1.0,1.0,37.181
301,31.0,31.319,-0.319,0.132,1.0,1.0,37.201
302,31.0,31.385,-0.385,0.131,1.0,1.0,37.221
303,31.0,31.319,-0.319,0.131,1.0,1.0,37.241
